"","species","island","sex","culmen_length_mm","log_culmen_length"
"60","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.6,3.88362353090645
"61","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1,3.93378449720966
"62","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2,3.81109708683819
"63","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.5,3.96081316959758
"64","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50,3.91202300542815
"65","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8,3.92789635458444
"66","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.3,3.93769075217672
"67","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.1,3.95316494875932
"68","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.2,3.95508249488859
"69","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5,3.90197266957464
"70","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8,3.92789635458444
"71","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.4,3.89995042419388
"72","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1,3.93378449720966
"73","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.9,4.02356438016105
"74","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.1,3.89385903480047
"75","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8,3.8458832029236
"76","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",53.4,3.97781074596615
"77","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.1,3.87328217711172
"78","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8,3.90801498403061
"79","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.5,3.94158180766969
"80","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.1,4.00914971615887
"81","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.8,3.8877303128591
"82","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4,3.91999117507732
"83","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.9,3.91002100275747
