"","species","island","sex","culmen_length_mm"
"61","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1
"62","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2
"63","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.5
"64","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50
"65","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8
"66","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.3
"67","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.1
"68","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.2
"69","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5
"70","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8
"71","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.4
"72","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1
"73","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.9
"74","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.1
"75","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8
"76","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",53.4
"77","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.1
"78","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8
"79","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.5
"80","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.1
"81","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.8
"82","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4
"83","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.9
